ICAO,IATA,DB ID,FlighStats API Name (Okay quality),OurAirports.com Name (Good quality),FlightAware API Name (bad quality),Marketing Name (OurAirports + our edits),City,Country,Country Code,Continent,Latitude,Longitude,Timezone,Flight Rank,Relevance,On Time Departures,On Time Departures Rank,Cancel %,No Flights,Airport Type,Elevation (ft),Website,Apple terminal maps? (63),Google terminal maps?,"If Gate known, replace any ""N/A"" Terminal with:"
SKSV,SVI,dafa43b9-68d5-432a-ad88-a23605c33bf8,Eduardo Falla Solano Airport,Eduardo Falla Solano Airport,Eduardo Falla Solano,Eduardo Falla Solano ,San Vicente del Caguan,Colombia,CO,South America,2.152148,-74.766263,America/Bogota,,2,,,,,medium_airport,920,,,,
KSVE,SVE,3942661f-eaaa-4ed2-b241-456965b9801b,Susanville Municipal Airport,Susanville Municipal Airport,Susanville Muni,Susanville Municipal ,Susanville,United States,US,North America,40.416667,-120.65,America/Los_Angeles,,1,,,,,small_airport,4149,,,,
FMNS,SVB,6ff0aa50-2576-4143-a3c9-c92119b63010,Sambava Airport,Sambava Airport,Sambava Sud,Sambava ,Sambava,Madagascar,MG,Africa,-14.276944,50.175,Indian/Antananarivo,,2,,,,,medium_airport,20,,,,
KSVC,SVC,5edb1fc4-83fc-48e6-8522-788272b166c6,Grant County Airport,Grant County Airport,Grant County,Grant County ,Silver City,United States,US,North America,32.631944,-108.153889,America/Denver,,2,,,,,small_airport,5446,,,,
KPEQ,PEQ,1b472066-9f1d-4500-b377-3c58f48cb698,Pecos Municipal Airport,Pecos Municipal Airport,Pecos Muni,Pecos Municipal ,Pecos City,United States,US,North America,31.382401,-103.511002,America/Chicago,,2,,,,,small_airport,2613,http://www.townofpecoscitytx.com/82/Municipal-Airport,,,
SVSA,SVZ,948d2bd0-207c-45d5-8b19-189c972c0be2,San Antonio Del Tachira Airport,San Antonio Del Tachira Airport,Juan Vicente Gomez Intl,San Antonio Del Tachira ,San Antonio del Tachira,Venezuela,VE,South America,7.839308,-72.440059,America/Caracas,,2,,,,,medium_airport,1312,,,,
PASV,SVW,641faa06-ae98-4ab7-8581-7744052cdf9c,Sparrevohn LRRS Airport,Sparrevohn LRRS Airport,Sparrevohn Lrrs,Sparrevohn LRRS ,Sparrevohn,United States,US,North America,61.0975,-155.572222,America/Anchorage,,2,,,,,medium_airport,1585,,,,
ULPB,PES,8662123c-217b-4546-b69c-13d5ac723d4f,Petrozavodsk Airport,Petrozavodsk Airport,Besovets,Petrozavodsk ,Petrozavodsk,Russian Federation,RU,Europe,61.878284,34.153871,Europe/Moscow,,2,,,,,medium_airport,151,,,,
BGSV,SVR,a5b13446-fecd-4abe-80cd-82e88207555d,Savissivik Heliport,Savissivik Heliport,,Savissivik Heliport,Savissivik,Greenland,GL,North America,76.018608,-65.117578,America/Thule,,2,,,,,heliport,24,,,,
FNKU,SVP,97d1b1f6-daf8-4c09-9768-e336dc1b5530,Kuito Airport,Kuito Airport,Kuito,Kuito ,Kuito,Angola,AO,Africa,-12.3997,16.955244,Africa/Luanda,,2,,,,,medium_airport,5618,,,,
OYSY,GXF,5a93fb6c-24ce-4e30-8aea-81687ff49180,Sayun International Airport,Sayun International Airport,Sayun,Sayun Intl ,Seiyun,Republic of Yemen,YE,Middle East,15.961794,48.787085,Asia/Aden,,2,,,,,medium_airport,2097,,,,
FNNG,GXG,0f92501d-a33a-40ca-8910-e550eb57ebf9,Negage Airport,Negage Airport,Negage,Negage ,Negage,Angola,AO,Africa,-7.783333,15.45,Africa/Luanda,,1,,,,,medium_airport,4105,,,,
SCCY,GXQ,515e236d-67db-4882-b55a-25332a9bfbab,Teniente Vidal Airport,Teniente Vidal Airport,Teniente Vidal,Teniente Vidal ,Coyhaique,Chile,CL,South America,-45.588889,-72.098611,America/Santiago,,1,,,,,medium_airport,1020,,,,
DNIL,ILR,3ef887cf-2776-401f-80bc-e31f629e1160,Ilorin International Airport,Ilorin International Airport,Ilorin Intl,Ilorin Intl ,Ilorin,Nigeria,NG,Africa,8.436093,4.493616,Africa/Lagos,,2,,,,,medium_airport,1126,http://www.faannigeria.org/nigeria-airport.php?airport=20,,,
KGXY,GXY,4d8bd31c-1675-46cb-be94-1a72bcff76e4,Greeley–Weld County Airport,Greeley–Weld County Airport,Greeley-Weld County,Greeley–Weld County ,Greeley,United States,US,North America,40.427756,-104.636865,America/Denver,,2,,,,,small_airport,4697,http://www.gxy.net/,,,
MSSS,ILS,20f4900e-94ab-4fa8-a617-5ca061735aac,Ilopango Airport,Ilopango International Airport,,Ilopango Intl ,San Salvador,El Salvador,SV,Central America,13.699471,-89.119781,America/El_Salvador,,2,,,,,medium_airport,2021,,,,
ENLK,LKN,7f29674d-2d99-4289-ac87-242dd527ce89,Leknes Airport,Leknes Airport,Leknes,Leknes ,Leknes,Norway,NO,Europe,68.154216,13.614864,Europe/Oslo,,2,,,,,medium_airport,78,https://avinor.no/en/airport/leknes-airport/,,,
ENNA,LKL,609e0183-c500-4973-abd0-b31125b0a5cc,Banak Airport,Banak Airport,"Lakselv, Banak",Banak ,Lakselv,Norway,NO,Europe,70.067778,24.973611,Europe/Oslo,,2,,,,,medium_airport,25,https://avinor.no/en/airport/lakselv-airport/,,,
WIMS,FLZ,5280de30-fa20-4296-a113-2847a192e1de,Dr Ferdinand Lumban Tobing Airport,Dr Ferdinand Lumban Tobing Airport,,Dr Ferdinand Lumban Tobing ,Sibolga,Indonesia,ID,Asia,1.555833,98.888889,Asia/Jakarta,,2,,,,,small_airport,33,,,,
SKCD,COG,f17a18b4-5913-4cdb-b788-83ddf00f04ae,Mandinga Airport,Mandinga Airport,Mandinga,Mandinga ,Condoto,Colombia,CO,South America,5.071961,-76.676625,America/Bogota,,2,,,,,small_airport,213,,,,
